Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold
Canada,Snacks,07/02/17,554330180,M,North America,Offline,03/03/17,604912.65,836333.1,4065
Canada,Beverages,12/07/16,842716738,M,North America,Online,08/08/16,281677.55,437791.2,8855
Eritrea,Baby Food,24/03/11,794710793,L,Sub-Saharan Africa,Offline,17/05/11,200849.4,1048333.86,4167
Brunei,Personal Care,30/10/14,901927335,M,Asia,Online,17/11/14,14796.8,21613.12,272
Thailand,Meat,12/03/15,126373949,L,Asia,Online,05/05/15,4188710.56,5863045.11,9743
Djibouti,Cosmetics,21/04/11,322122096,M,Sub-Saharan Africa,Offline,10/05/11,1500412.66,2527496.75,5807
Georgia,Fruits,30/11/14,863193132,M,Asia,Offline,29/12/14,35251.5,47445.75,5325
Australia,Fruits,26/09/12,557810637,H,Australia and Oceania,Offline,09/10/12,20587.68,27124.86,2958
Niger,Household,08/03/17,311875497,C,Sub-Saharan Africa,Offline,12/03/17,1570621.46,4448097.9,6581
Guinea-Bissau,Household,26/11/17,954707142,M,Sub-Saharan Africa,Offline,17/12/17,850047.9,2366840.19,3471
Papua New Guinea,Beverages,28/08/13,625579419,C,Australia and Oceania,Online,30/08/13,232133.76,366582.96,7596
Cambodia,Personal Care,01/08/16,285250002,M,Asia,Online,19/08/16,323814,472062,5800
Canada,Personal Care,06/07/13,844571822,H,North America,Offline,12/07/13,222724.56,317193.12,4008
Dominica,Household,12/06/16,844567935,M,Central America and the Caribbean,Offline,09/07/16,1705579.98,4762307.23,7031
Saudi Arabia,Office Supplies,29/03/13,157564650,C,Middle East and North Africa,Online,31/03/13,1630702.95,2050983.3,3165
Canada,Baby Food,10/03/12,835187452,M,North America,Offline,06/04/12,441564,2372895,9300
Ghana,Vegetables,17/11/11,413629152,M,Sub-Saharan Africa,Online,04/12/11,811397.58,1480103.04,9363
Kiribati,Clothes,17/02/15,222628457,L,Australia and Oceania,Offline,06/04/15,295904.3,862985.75,8215
Ukraine,Fruits,16/02/16,906751081,H,Europe,Online,24/02/16,46911.6,68106.6,7065
Panama,Baby Food,28/11/13,971759086,M,Central America and the Caribbean,Online,15/12/13,358669.74,1790504.43,7293
Mexico,Vegetables,11/11/11,964835149,L,Central America and the Caribbean,Online,30/12/11,222671.12,378317.09,2381
Papua New Guinea,Fruits,18/08/13,652348887,L,Australia and Oceania,Offline,09/10/13,33132.38,44584.34,4894
Libya,Cereal,09/02/13,989575564,M,Middle East and North Africa,Offline,28/02/13,259645.32,477653.7,2274
Dominican Republic,Meat,15/01/17,925583165,C,Central America and the Caribbean,Online,19/01/17,2622445.56,3946722.48,6246
Samoa,Office Supplies,06/02/15,931221434,L,Australia and Oceania,Online,07/04/15,4176645.44,5009885.76,8096
United States,Vegetables,17/09/10,631196129,M,North America,Online,14/10/10,349156.92,583432.08,3668
Italy,Cosmetics,07/05/16,918464025,L,Europe,Offline,03/07/16,2181176.92,3658615.93,8051
Australia,Beverages,24/05/11,559346003,M,Australia and Oceania,Offline,13/06/11,231994.5,364887.4,7330
Honduras,Snacks,27/01/13,796763109,L,Central America and the Caribbean,Offline,28/02/13,893363.85,1263331.9,6005
Costa Rica,Household,25/10/14,611967311,L,Central America and the Caribbean,Offline,14/12/14,407346.7,1012078.42,1594
Federated States of Micronesia,Personal Care,08/02/10,553456129,C,Australia and Oceania,Online,09/02/10,334974.63,491089.88,5729
Syria,Meat,19/04/14,421322967,H,Middle East and North Africa,Offline,25/04/14,720356.7,1093985.62,1778
Dominican Republic,Cereal,13/12/15,477084942,C,Central America and the Caribbean,Offline,18/12/15,28179.2,47312.02,238
United Arab Emirates,Snacks,28/11/16,907932366,C,Middle East and North Africa,Online,02/12/16,535201.93,748631.4,3659
Papua New Guinea,Vegetables,25/10/14,366467312,M,Australia and Oceania,Online,19/11/14,211849.6,373533.1,2390
Pakistan,Vegetables,21/04/12,793819512,H,Asia,Online,04/05/12,744268.8,1287390.72,8448
Nauru,Clothes,07/04/11,112956853,M,Australia and Oceania,Online,29/04/11,300994.05,866528.15,8285
Italy,Cereal,05/02/14,117920106,M,Europe,Online,25/02/14,957035.31,1651419.42,7817
Laos,Baby Food,13/06/10,407613928,L,Asia,Offline,11/08/10,54042.2,275421.2,1090
Algeria,Household,04/12/10,318181642,M,Middle East and North Africa,Online,23/12/10,1115132.92,2974090.44,4646
United States,Office Supplies,30/07/16,356234948,L,North America,Online,18/09/16,609233.17,765566.62,1183
Fiji,Beverages,01/02/15,288598352,M,Australia and Oceania,Offline,17/02/15,166997.44,249049.4,5167
Australia,Vegetables,03/11/11,873916084,C,Australia and Oceania,Offline,07/11/11,526789.2,915667.6,5780
Portugal,Fruits,29/04/11,168582026,C,Europe,Online,30/04/11,39842.44,50962.56,5588
Andorra,Personal Care,08/02/15,279187532,H,Europe,Online,21/02/15,324900,508020,6000
Portugal,Cosmetics,24/07/12,362585121,H,Europe,Offline,06/08/12,35687.44,64335.94,142
Solomon Islands,Fruits,04/01/12,804056048,M,Australia and Oceania,Offline,20/01/12,65296.54,87275.74,9158
Niger,Fruits,03/08/13,822977979,C,Sub-Saharan Africa,Online,06/08/13,9590.72,12342.72,1376
Federated States of Micronesia,Clothes,10/10/10,192755745,H,Australia and Oceania,Online,22/10/10,173974.5,506567.25,4725
Armenia,Baby Food,09/04/13,495430792,L,Asia,Offline,27/05/13,246788.61,1263198.09,5079
Azerbaijan,Clothes,27/01/10,844597866,C,Asia,Offline,31/01/10,17126.08,52831.6,491
New Zealand,Baby Food,02/03/11,164311845,M,Australia and Oceania,Online,23/03/11,436717.2,2223359.4,8780
El Salvador,Beverages,30/10/15,723597716,H,Central America and the Caribbean,Offline,10/11/15,196355.32,301603.26,6202
Tuvalu,Cereal,21/08/16,413184748,M,Australia and Oceania,Offline,06/09/16,859966.26,1431470.6,7226
Italy,Household,29/01/15,937450959,L,Europe,Online,08/03/15,941694.6,2546266.8,3927
United States,Cereal,16/01/15,927142786,H,North America,Offline,28/01/15,608524.9,1082777.8,5245
Barbados,Cosmetics,07/05/11,856671023,M,Central America and the Caribbean,Online,24/05/11,727975.26,1149612.48,2682
Kuwait,Clothes,09/01/11,152560325,L,Middle East and North Africa,Offline,02/03/11,156308.32,450552.9,4166
Oman,Cosmetics,15/07/14,596115163,C,Middle East and North Africa,Offline,19/07/14,2484870.88,3925002.08,9208
Nauru,Cereal,10/09/10,836893185,H,Australia and Oceania,Offline,18/09/10,254510.37,456379.65,2241
Lebanon,Personal Care,31/03/10,238288872,L,Middle East and North Africa,Offline,02/05/10,196834.05,271360.53,3339
Palau,Fruits,04/03/15,877851703,H,Australia and Oceania,Offline,09/03/15,20562.92,26438.04,2852
Botswana,Baby Food,09/12/11,578901124,M,Sub-Saharan Africa,Online,04/01/12,178643.63,902586.18,3617
Costa Rica,Personal Care,06/08/15,511259527,C,Central America and the Caribbean,Online,10/08/15,515849.1,714799.92,9122
Trinidad and Tobago,Clothes,16/04/14,707363258,C,Central America and the Caribbean,Offline,19/04/14,286524,868406.49,7959
Cambodia,Household,17/04/10,935949119,L,Asia,Offline,27/05/10,2405621.03,6865917.76,9883
France,Meat,16/10/11,976479512,L,Europe,Offline,18/11/11,1782601.6,2533398.4,4160
United States,Clothes,13/12/11,849070816,M,North America,Online,02/01/12,143775.75,447704.25,3975
Latvia,Baby Food,25/04/16,628524423,L,Europe,Offline,24/06/16,156175.2,838028.8,3184
Nepal,Cereal,05/01/11,613236768,M,Asia,Offline,21/01/11,462671.3,765852.02,3911
New Zealand,Personal Care,27/10/13,856661933,C,Australia and Oceania,Offline,29/10/13,292572.17,425868.85,5401
Haiti,Office Supplies,11/03/14,446392556,L,Central America and the Caribbean,Offline,02/05/14,3484507.88,4215591.17,6581
Nicaragua,Vegetables,13/04/17,758965006,M,Central America and the Caribbean,Online,08/05/17,274160.74,457899.54,2954
Canada,Clothes,10/06/13,853775825,C,North America,Online,13/06/13,75810.48,226994.24,2186
Kazakhstan,Personal Care,03/10/16,632774653,H,Asia,Offline,13/10/16,213693.74,291904.31,3719
Cuba,Vegetables,21/11/13,982252644,H,Central America and the Caribbean,Offline,01/12/13,262684.5,459391.5,2850
Bahrain,Meat,08/05/12,873538202,H,Middle East and North Africa,Online,16/05/12,502851.8,776154.5,1210
Australia,Household,13/11/11,503026384,M,Australia and Oceania,Online,11/12/11,2126361.78,5383822.74,8178
Palau,Meat,23/01/15,212447665,C,Australia and Oceania,Offline,24/01/15,267366.28,396125.75,647
New Zealand,Cereal,04/11/10,618334675,M,Australia and Oceania,Offline,21/11/10,666231.56,1172513.44,5636
Iran,Household,06/10/11,539460908,C,Middle East and North Africa,Online,07/10/11,433100.98,1231247.23,1759
Yemen,Vegetables,03/05/13,627151698,L,Middle East and North Africa,Online,09/06/13,145092.93,259289.07,1671
Costa Rica,Fruits,25/12/10,322214072,H,Central America and the Caribbean,Online,03/01/11,68637.03,88900.35,9933
Bahamas,Cosmetics,19/04/11,384546308,H,Central America and the Caribbean,Online,28/04/11,1736046.72,3004889.52,6612
Vanuatu,Office Supplies,28/02/14,572167680,M,Australia and Oceania,Offline,27/03/14,3128353.52,3823775.6,6152
Rwanda,Clothes,12/09/11,681376445,L,Sub-Saharan Africa,Offline,05/11/11,57862.24,181147.88,1684
Guinea-Bissau,Clothes,11/11/15,714947283,H,Sub-Saharan Africa,Online,22/11/15,323953.23,1011965.65,8873
Antigua and Barbuda,Cosmetics,23/05/10,827497537,H,Central America and the Caribbean,Online,05/06/10,2590357.04,4259315.72,9458
Turkmenistan,Beverages,16/11/11,833500385,M,Asia,Offline,07/12/11,99664.2,153372.13,3257
Mauritania,Snacks,02/08/13,450175988,C,Sub-Saharan Africa,Online,03/08/13,230076.75,321653,1525
Canada,Office Supplies,08/11/17,731289471,M,North America,Offline,06/12/17,1011273.21,1220786.9,1943
Mongolia,Beverages,03/01/16,714205272,H,Asia,Online,13/01/16,212065.28,329165.76,6832
Georgia,Baby Food,09/07/14,455939049,C,Asia,Online,11/07/14,302382.06,1772001.63,6681
Egypt,Baby Food,06/03/14,401019924,M,Middle East and North Africa,Online,21/03/14,275889.6,1410158.75,5635
Canada,Vegetables,05/07/11,882542411,H,North America,Offline,14/07/11,687477.78,1113416.7,7359
Liberia,Snacks,15/12/14,501483027,H,Sub-Saharan Africa,Offline,23/12/14,1058036.46,1480411.44,6771
United States,Office Supplies,28/06/13,710607239,C,North America,Offline,03/07/13,3393613.47,4522469.81,6709
Federated States of Micronesia,Clothes,18/10/12,313792490,C,Australia and Oceania,Offline,19/10/12,259394.94,816529.5,7578
Sweden,Meat,22/08/17,290679038,M,Europe,Offline,06/09/17,1692280.13,2557292.83,4063
Canada,Personal Care,01/11/11,406090918,L,North America,Online,27/12/11,251892.96,361141.99,4337
Samoa,Baby Food,25/06/12,121531054,C,Australia and Oceania,Offline,27/06/12,161622.45,882106.39,3487
United States,Meat,28/09/16,427984850,C,North America,Offline,29/09/16,1549483.04,2419918.62,3766
Qatar,Household,24/02/15,985097007,M,Middle East and North Africa,Online,19/03/15,917353.5,2499404.25,3675
Kazakhstan,Personal Care,27/09/15,403521991,H,Asia,Offline,12/10/15,355291.62,514057.5,6231
Kosovo,Beverages,09/10/13,863531123,M,Europe,Offline,01/11/13,178765.38,251378.64,5427
Oman,Clothes,21/08/10,874471936,C,Middle East and North Africa,Offline,26/08/10,244742.4,747667.2,6720
Vanuatu,Meat,11/09/14,714225883,L,Australia and Oceania,Online,23/10/14,2790376.68,4062224.53,6461
United States,Fruits,14/07/17,806108387,C,North America,Online,17/07/17,57026.58,75867.22,8411
Singapore,Cosmetics,09/06/11,829835592,H,Asia,Online,18/06/11,2502244.75,3919705.06,9259
Bosnia and Herzegovina,Beverages,03/07/12,379773344,C,Europe,Online,06/07/12,228610.19,326036.85,6989
Pakistan,Meat,08/08/10,607042021,H,Asia,Online,23/08/10,4108630.08,6096767.27,9661
Dominica,Beverages,20/08/14,539366395,M,Central America and the Caribbean,Online,05/09/14,78744.8,118297.1,2570
Armenia,Cereal,28/11/10,781288086,L,Asia,Offline,12/01/11,658333.36,1104528.45,5549
Australia,Meat,22/11/11,194533678,L,Australia and Oceania,Offline,09/01/12,1135807.75,1724746.1,2695
Saint Kitts and Nevis,Household,24/10/14,884539206,M,Central America and the Caribbean,Online,23/11/14,1518695.2,4277981.4,6380
Albania,Fruits,03/08/17,435106513,C,Europe,Offline,04/08/17,28104.48,40423.68,4176
Haiti,Household,25/09/10,881503560,L,Central America and the Caribbean,Offline,20/11/10,208344.6,555492.21,849
Taiwan,Household,01/07/15,971887294,C,Asia,Online,04/07/15,771445.22,2216431.02,3187
Cameroon,Clothes,15/05/12,863548641,C,Sub-Saharan Africa,Offline,16/05/12,350029.46,1026466.76,9761
Kuwait,Household,29/08/16,840613153,L,Middle East and North Africa,Offline,29/09/16,475795.3,1190292.78,1871
Samoa,Meat,20/02/16,836307746,M,Australia and Oceania,Offline,14/03/16,3388187.52,4764055.68,7872
Iran,Cosmetics,06/06/17,649309976,M,Middle East and North Africa,Offline,29/06/17,613012.93,1067016.61,2347
Libya,Cosmetics,01/08/15,316544937,H,Middle East and North Africa,Offline,09/08/15,912631.8,1523098.68,3372
Andorra,Household,11/06/10,616108982,L,Europe,Offline,28/07/10,2146329.36,5604757.2,8232
Slovenia,Baby Food,29/03/11,649439435,H,Europe,Offline,12/04/11,375249.05,2006299.9,8195
Tonga,Vegetables,24/03/17,598514021,H,Australia and Oceania,Online,01/04/17,723190.71,1144426.36,7583
East Timor,Cereal,15/01/14,914115345,H,Australia and Oceania,Online,30/01/14,607121.52,1033109.4,5223
Australia,Cereal,04/01/14,975061242,C,Australia and Oceania,Online,08/01/14,546322.3,886998.35,4495
Romania,Beverages,13/02/15,552839683,M,Europe,Online,08/03/15,207911.41,303939.65,6419
Saudi Arabia,Beverages,15/10/11,710898358,C,Middle East and North Africa,Offline,16/10/11,228919.6,327610.92,6916
Morocco,Cereal,09/11/16,541613113,M,Middle East and North Africa,Online,24/11/16,261878.4,460230.4,2240
Cape Verde,Beverages,20/02/10,706677256,L,Sub-Saharan Africa,Online,13/04/10,283902.72,415851.38,8698
Cuba,Office Supplies,03/06/17,513258121,H,Central America and the Caribbean,Online,11/06/17,4132295.7,5298206.55,7995
Saint Lucia,Personal Care,20/03/17,277601056,H,Central America and the Caribbean,Offline,27/03/17,491662.95,709285.63,8383
Nauru,Meat,17/09/13,506559022,L,Australia and Oceania,Offline,25/10/13,390094.32,579070.8,924
Republic of the Congo,Beverages,05/06/16,227460504,M,Sub-Saharan Africa,Online,04/07/16,50762.64,72782.4,1542
Swaziland,Snacks,11/07/14,197598351,H,Sub-Saharan Africa,Offline,22/07/14,105420.15,139090.02,687
Canada,Office Supplies,28/10/13,456452891,C,North America,Online,31/10/13,535622.62,666220.07,989
Georgia,Vegetables,13/04/11,780388507,L,Asia,Online,16/05/11,322531.2,566781.39,3733
Canada,Office Supplies,07/07/10,897264993,L,North America,Offline,03/09/10,1462997.84,1874682.13,2789
Israel,Beverages,08/02/12,304632391,L,Middle East and North Africa,Offline,12/03/12,201927.93,320247.63,6537
Bahrain,Beverages,06/02/17,641378026,M,Middle East and North Africa,Offline,24/02/17,236773.65,358115.47,7481
Antigua and Barbuda,Baby Food,24/07/16,842833609,H,Central America and the Caribbean,Online,05/08/16,411117.84,2239741,8428
Singapore,Vegetables,06/05/14,753901994,C,Asia,Offline,11/05/14,488781.81,818200.44,5373
Egypt,Cosmetics,19/04/13,903617229,M,Middle East and North Africa,Online,18/05/13,579933,1009238.8,2285
Nepal,Vegetables,02/04/12,242455183,L,Asia,Offline,08/05/12,450181.8,780273,4860
Saudi Arabia,Office Supplies,13/12/13,862489444,L,Middle East and North Africa,Offline,29/01/14,4218600.7,5419918.8,7970
Central African Republic,Vegetables,22/02/10,819679947,L,Sub-Saharan Africa,Online,09/04/10,159708.84,274018.4,1844
Fiji,Cosmetics,31/08/17,416904770,C,Australia and Oceania,Online,03/09/17,680402.73,1113379.47,2499
Saint Lucia,Baby Food,24/02/11,702659666,L,Central America and the Caribbean,Online,14/04/11,457619.9,2432978.35,9305
Republic of the Congo,Office Supplies,12/04/14,435709651,L,Sub-Saharan Africa,Offline,24/05/14,3801409.5,4724235,6925
Kyrgyzstan,Baby Food,16/12/16,856589701,L,Asia,Offline,11/02/17,360738.18,1955875.02,7359
Iraq,Personal Care,19/04/13,286611097,C,Middle East and North Africa,Offline,23/04/13,178586.46,235219.5,3006
Algeria,Beverages,22/10/14,373821508,M,Middle East and North Africa,Offline,14/11/14,286157.76,422598.96,9219
New Zealand,Meat,22/09/11,761004783,C,Australia and Oceania,Offline,25/09/11,3980644.26,6426388.29,9879
Canada,Meat,08/12/17,173203925,L,North America,Offline,17/01/18,3570976.64,5258238.72,8708
United States,Household,02/12/13,415223070,M,North America,Offline,24/12/13,915071.3,2361843.1,3595
Saint Kitts and Nevis,Office Supplies,15/04/11,766935087,M,Central America and the Caribbean,Offline,11/05/11,3784353.33,4888138.47,7401
Costa Rica,Snacks,10/04/11,654982592,L,Central America and the Caribbean,Online,22/05/11,659176.57,897089.44,4303
Canada,Office Supplies,29/06/10,203032434,M,North America,Online,23/07/10,1677534.62,2030528.54,3254
Saint Lucia,Office Supplies,13/05/12,211590567,H,Central America and the Caribbean,Offline,28/05/12,1954479.04,2321401.84,3592
Saint Lucia,Vegetables,11/09/17,193974854,M,Central America and the Caribbean,Offline,30/09/17,44283.84,74068.83,489
Australia,Cereal,13/06/16,584392493,L,Australia and Oceania,Offline,08/08/16,466831.68,780350.2,3829
Jordan,Household,15/05/14,763947575,L,Middle East and North Africa,Offline,05/07/14,512190.16,1381193.36,2038
Nauru,Vegetables,05/01/14,751295118,H,Australia and Oceania,Offline,18/01/14,163618.76,288418.96,1838
Kiribati,Meat,30/05/17,901820909,M,Australia and Oceania,Online,14/06/17,3204122.35,4766819.2,7865
Eritrea,Cosmetics,06/08/17,232322744,C,Sub-Saharan Africa,Online,09/08/17,74656.68,123970.02,282
Australia,Personal Care,02/06/13,650349270,M,Australia and Oceania,Offline,23/06/13,315544.32,487591.65,5733
Nicaragua,Cereal,06/03/12,158398995,C,Central America and the Caribbean,Online,07/03/12,365786.81,635942.68,3071
Canada,Snacks,14/07/17,623116712,H,North America,Online,20/07/17,616115.15,916789.44,4207
Poland,Cereal,13/03/13,583877436,C,Europe,Offline,18/03/13,151397.4,251023.85,1243
Malta,Snacks,05/05/16,281075299,L,Europe,Offline,22/06/16,954786.17,1353104.48,6071
New Zealand,Clothes,07/02/13,615346649,C,Australia and Oceania,Online,10/02/13,83904,247112,2300
Tanzania,Fruits,09/03/16,401309071,L,Sub-Saharan Africa,Online,11/04/16,20912.58,26632.26,2979
United States,Office Supplies,10/01/17,778203785,C,North America,Online,11/01/17,728295.9,899763.3,1335
Palau,Personal Care,31/05/10,802128517,M,Australia and Oceania,Offline,23/06/10,530335.6,738778.2,9004
United States,Fruits,12/08/16,526044822,M,North America,Offline,05/09/16,15821.7,21416.62,2293
Croatia,Baby Food,07/10/15,707536579,C,Europe,Offline,09/10/15,339600.3,1904147.7,7410
Syria,Vegetables,15/06/10,351275639,M,Middle East and North Africa,Online,07/07/10,715795.61,1216828.27,8089
Vanuatu,Clothes,08/04/15,796348146,L,Australia and Oceania,Online,06/06/15,280861.08,786879,7548
Macedonia,Vegetables,28/06/16,492234424,L,Europe,Online,14/08/16,830430.36,1476855.63,9441
Laos,Office Supplies,01/07/12,622763616,L,Asia,Online,16/08/12,3490852.76,4556654.84,6749
Canada,Personal Care,07/12/14,327114760,H,North America,Offline,14/12/14,209916.36,320657.2,3868
Nicaragua,Cereal,31/05/17,617024564,L,Central America and the Caribbean,Offline,07/07/17,832329.75,1449115.39,6893
Tunisia,Meat,05/04/17,736028462,C,Middle East and North Africa,Offline,09/04/17,191974.36,280363.45,467
Honduras,Snacks,18/08/10,535355406,H,Central America and the Caribbean,Offline,25/08/10,688758.93,924495.26,4331
Bangladesh,Vegetables,06/06/12,991596102,L,Asia,Offline,20/07/12,737474.21,1165470.54,7823
Liberia,Cereal,18/11/11,506101350,C,Sub-Saharan Africa,Online,21/11/11,890228.96,1481933.07,7529
Kenya,Beverages,12/11/15,290505619,H,Sub-Saharan Africa,Offline,25/11/15,229054.91,334547.15,6977
Togo,Personal Care,17/01/11,101288710,H,Sub-Saharan Africa,Offline,29/01/11,131753.25,183381.75,2235
Canada,Office Supplies,27/06/10,925354925,M,North America,Online,25/07/10,2114654.82,2508542.95,3859
South Africa,Personal Care,03/07/11,189998443,H,Sub-Saharan Africa,Online,12/07/11,460611.06,673578.36,7917
Luxembourg,Office Supplies,14/02/12,107724556,M,Europe,Online,29/02/12,114274.8,135285.12,216
Burundi,Clothes,23/01/14,380571840,L,Sub-Saharan Africa,Online,25/02/14,93753.3,290403.35,2635
Canada,Personal Care,19/08/17,618045811,L,North America,Online,30/09/17,193090.66,288879.85,3437
Jamaica,Office Supplies,10/06/13,807899575,M,Central America and the Caribbean,Online,06/07/13,3558265.48,4465413.26,6622
Tonga,Clothes,15/02/11,691176704,M,Australia and Oceania,Offline,08/03/11,299025.44,906094.28,8428
Kyrgyzstan,Cereal,09/01/11,168805869,M,Asia,Offline,28/01/11,955676.7,1599603.99,7827
Slovakia,Fruits,24/04/14,161700457,H,Europe,Offline,05/05/14,58465.72,84287.36,8636
United States,Snacks,13/02/10,743724233,M,North America,Online,06/03/10,1282423.59,1745027.13,8589
Thailand,Personal Care,13/01/14,396284956,C,Asia,Offline,15/01/14,6174.48,8148.4,104
Canada,Fruits,28/07/16,196814848,M,North America,Online,18/08/16,56469.56,81700.64,8582
Pakistan,Vegetables,06/02/13,104994458,L,Asia,Online,15/03/13,297539.24,501530.46,3287
Romania,Household,23/08/15,376696166,H,Europe,Offline,01/09/15,1483555.5,3903851.7,5670
Indonesia,Vegetables,25/04/16,592684748,M,Asia,Online,25/05/16,381007.95,658379.45,4085
Morocco,Personal Care,22/04/11,336633719,H,Middle East and North Africa,Online,01/05/11,67548.06,101412.54,1206
Egypt,Fruits,17/10/15,823377624,M,Middle East and North Africa,Online,01/11/15,29794.5,39505.3,4414
Bahrain,Beverages,09/07/13,901179178,C,Middle East and North Africa,Online,12/07/13,121587.2,170568,3680
United Arab Emirates,Meat,18/09/12,998007554,C,Middle East and North Africa,Offline,21/09/12,1431308.89,2247162.28,3487
Afghanistan,Cereal,18/11/10,681403225,H,Asia,Offline,03/12/10,967773.24,1725224.94,8171
Palau,Meat,10/07/15,920620417,L,Australia and Oceania,Online,06/09/15,4161024.4,5925785.76,9512
Philippines,Household,10/08/10,639528648,C,Asia,Offline,15/08/10,1757617.03,4719072.67,7033
Ireland,Snacks,09/05/11,823812653,C,Europe,Online,14/05/11,1143793.49,1547485.31,7637
Dominican Republic,Personal Care,21/01/14,389274886,H,Central America and the Caribbean,Online,04/02/14,239034.6,347405.66,4354
Togo,Fruits,05/08/15,491999503,L,Sub-Saharan Africa,Offline,17/09/15,24346.14,33963.93,3549
Canada,Cosmetics,29/05/16,873969707,M,North America,Offline,17/06/16,2557573.05,4299712.9,9535
Slovenia,Office Supplies,14/03/12,552604373,M,Europe,Online,02/04/12,1335027,1579164,2550
Kenya,Snacks,13/05/13,206273380,L,Sub-Saharan Africa,Online,20/06/13,1471445.5,1894305.7,9310
Saudi Arabia,Baby Food,06/05/15,486876247,C,Middle East and North Africa,Online,07/05/15,363116.7,1861150.5,7470
Indonesia,Fruits,12/05/11,678143675,H,Asia,Online,22/05/11,23412.23,31809.73,3359
Panama,Fruits,05/01/15,778295798,L,Central America and the Caribbean,Online,04/03/15,9466.56,12635.92,1384
Nicaragua,Snacks,29/01/17,184945787,L,Central America and the Caribbean,Online,19/03/17,1430445.45,2099242.35,9465
Cuba,Clothes,28/04/17,577706000,L,Central America and the Caribbean,Online,06/06/17,162338.04,484683.48,4482
Canada,Vegetables,17/11/11,370203915,M,North America,Online,07/12/11,41834.56,71685.66,478
Lebanon,Clothes,26/02/11,157794625,C,Middle East and North Africa,Online,27/02/11,42834.45,124793.55,1145
Nauru,Household,11/12/12,518594177,H,Australia and Oceania,Offline,25/12/12,634665.76,1843158.84,2644
Slovakia,Clothes,10/01/17,137747372,L,Europe,Online,13/02/17,80865,237780,2250
Iraq,Fruits,24/01/16,849066860,M,Middle East and North Africa,Online,16/02/16,62518.56,88779.99,9087
Singapore,Personal Care,15/11/15,196157900,M,Asia,Online,09/12/15,327427.16,460146,5788
South Sudan,Fruits,30/09/11,246351498,M,Sub-Saharan Africa,Online,24/10/11,1787.04,2616.64,272
United Kingdom,Meat,09/05/15,741027901,H,Europe,Online,18/05/15,107844.39,159890.37,249
Belize,Office Supplies,14/08/14,867658814,L,Central America and the Caribbean,Offline,11/10/14,4843091.44,5894597.28,9284
Jordan,Household,21/11/10,758435897,C,Middle East and North Africa,Online,25/11/10,1009500.88,2769799.68,4024
Canada,Cosmetics,10/02/12,783858343,L,North America,Online,07/04/12,311318.37,522588,1221
Togo,Meat,09/02/12,123762858,L,Sub-Saharan Africa,Online,20/03/12,169806.57,272234.28,417
Haiti,Cosmetics,01/12/14,629977010,L,Central America and the Caribbean,Offline,23/01/15,59971.86,98731.62,234
Cuba,Household,02/03/14,256860613,L,Central America and the Caribbean,Online,15/04/14,152397.8,427871.37,619
Kiribati,Household,14/01/12,230955221,H,Australia and Oceania,Online,22/01/12,1084504.8,2896811.37,4197
United States,Household,18/05/10,815120513,M,North America,Offline,08/06/10,1961001,4904721,7650
Antigua and Barbuda,Household,12/10/11,231148450,L,Central America and the Caribbean,Online,01/12/11,202954.78,531219.78,791
Hungary,Snacks,16/01/14,221256011,L,Europe,Offline,15/03/14,150697.89,197366.3,953
Bahamas,Household,17/11/11,361015184,L,Central America and the Caribbean,Offline,11/01/12,1167631.11,3057236.13,4623
Australia,Personal Care,02/03/14,764264860,M,Australia and Oceania,Offline,19/03/14,228497.75,327278.25,4175
Cyprus,Baby Food,25/03/17,349832483,H,Europe,Online,01/04/17,433952.21,2183802.51,8887
Belarus,Snacks,01/03/12,142400500,L,Europe,Online,31/03/12,945991.38,1291320.37,6289
Mauritius,Meat,17/02/12,602935000,L,Sub-Saharan Africa,Online,05/04/12,1337715.61,1933851.92,3157
Luxembourg,Office Supplies,16/12/15,494184264,C,Europe,Offline,18/12/15,3837184.26,4744339.6,7462
Burkina Faso,Snacks,18/03/10,678700154,M,Sub-Saharan Africa,Offline,13/04/10,601158.08,817645.6,4012
Canada,Clothes,16/11/16,203354415,M,North America,Offline,10/12/16,191275.2,578025.9,5385
Laos,Baby Food,09/05/10,713119661,C,Asia,Offline,11/05/10,87795.14,454059.12,1853
Jordan,Snacks,21/07/10,324130818,M,Middle East and North Africa,Online,16/08/10,573007.2,757915.36,3716
Tunisia,Beverages,18/01/14,762427117,M,Middle East and North Africa,Offline,15/02/14,201158.58,278721.1,6146
Serbia,Baby Food,16/11/10,670866707,H,Europe,Online,24/11/10,392144.94,2247729.33,8611
Mauritania,Clothes,06/04/16,719080517,C,Sub-Saharan Africa,Offline,11/04/16,253441.44,774335.38,6902
Kosovo,Meat,15/11/11,269840673,M,Europe,Offline,05/12/11,3805611.4,5588256.2,9110
Timor-Leste,Fruits,03/03/14,358473878,L,Asia,Online,15/04/14,51151.1,65602.18,7154
South Korea,Household,28/01/15,405460403,L,Asia,Online,13/03/15,1571527.65,4208507.85,6605
Bangladesh,Office Supplies,27/01/10,928416590,C,Asia,Online,30/01/10,1904812.65,2387262.6,3735
Canada,Office Supplies,04/06/10,725084928,C,North America,Offline,08/06/10,3004455.57,3769038.57,5927
Guatemala,Cosmetics,25/05/16,876938677,L,Central America and the Caribbean,Offline,06/07/16,2585011.59,4216227.12,9423
